sku_id,barcode,brand_name,description,primary_image_url
RTP7192990187,8909196567521,Rareism,".desc-bw-reset {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset *:not(img):not(video):not(iframe):not(svg):not(canvas) {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset a,
.desc-bw-reset a:visited,
.desc-bw-reset a:hover,
.desc-bw-reset a:active {
 color: #000000 !important;
 -webkit-text-fill-color: #000000 !important;
 text-decoration: underline !important;
}
.desc-bw-reset img,
.desc-bw-reset video,
.desc-bw-reset iframe,
.desc-bw-reset svg,
.desc-bw-reset canvas {
 background-color: transparent !important;
}
.desc-bw-reset table,
.desc-bw-reset td,
.desc-bw-reset th {
 background-color: #ffffff !important;
 color: #000000 !important;
 border-color: #cccccc !important;
}
.desc-bw-reset hr {
 border-color: #cccccc !important;
 background-color: #ffffff !important;
 color: #000000 !important;
}
This womens t-shirt from RAREISM carries a contemporary and minimal charm. Its neat styling keeps the outfit looking fresh and composed. A reliable pick for someone who prefers a soft, modern aesthetic.

Cotton

Oversized Fit

Printed

Crew Neck

SIZE
 The model (Chest-34, Waist-28, Hips-38, Height-178 cms) is wearing a size XS.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/BW_RAR_NOUV_BEIGE_01/1.jpg
OSN6093584998,8906197490612,One Science Nutrition,"One Science Nutrition ISO Gold

Overview

Precision-crafted in Europe, :contentReference[oaicite:0]{index=0} ISO Gold represents refined performance nutrition for those who treat fitness as a disciplined lifestyle. Each serving delivers 27 g of ultra-pure Whey Protein Isolate, processed through advanced microfiltration technology to provide a clean, fast-absorbing protein source that supports lean muscle growth, efficient recovery, and sustained endurance.

Enhanced with Hydrolyzed Whey Protein and a Digestive Enzyme Complex, ISO Gold is formulated for superior absorption and metabolic efficiency. Low in fat and gluten-free, it is designed to meet the standards of athletes who value structure, purity, and measurable results.

Key Highlights

27 g ultra-pure Whey Protein Isolate per serving

Includes Hydrolyzed Whey Protein for rapid absorption

Enhanced with Digestive Enzyme Complex

Low in fat and gluten-free formula

GMP and ISO certified manufacturing

Made in Europe and FSSAI approved

Ingredients

Whey Protein Blend (93%) (Whey Protein Isolate, Whey Protein Hydrolysate), Emulsifier (Sunflower Lecithin), Papain, Alpha Amylase, Added Flavours, Thickener (Xanthan Gum), Sodium Chloride, Anti-Caking Agent (INS 551), Sweeteners (Sucralose, Acesulfame K).

Storage Instructions

Store in a cool, dry place.

Keep away from direct sunlight and moisture.

Ensure the container is tightly closed after use.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/ONS_NGFW_ICO5/1.jpg
EMP5820815065,8908024977624,SUPERYOU,"Introducing SuperYou Mega - 20g protein, layered with crispy chocolate wafers, and topped with salted peanuts for extra crunch. Made with atta and jowar, no added sugar, and no palm oil. Whether it’s a long workday, an intense workout, this big boy has got your back.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/SYCHPWB_Choc1/1.png
SCP3265501955,8809181934614,Lador,".desc-bw-reset {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset *:not(img):not(video):not(iframe):not(svg):not(canvas) {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset a,
.desc-bw-reset a:visited,
.desc-bw-reset a:hover,
.desc-bw-reset a:active {
 color: #000000 !important;
 -webkit-text-fill-color: #000000 !important;
 text-decoration: underline !important;
}
.desc-bw-reset img,
.desc-bw-reset video,
.desc-bw-reset iframe,
.desc-bw-reset svg,
.desc-bw-reset canvas {
 background-color: transparent !important;
}
.desc-bw-reset table,
.desc-bw-reset td,
.desc-bw-reset th {
 background-color: #ffffff !important;
 color: #000000 !important;
 border-color: #cccccc !important;
}
.desc-bw-reset hr {
 border-color: #cccccc !important;
 background-color: #ffffff !important;
 color: #000000 !important;
}

What is it?

 Lador Dermatical Hair-Loss Shampoo for Thin Hair is a targeted scalp-care shampoo designed to help reduce hair thinning and support healthier hair growth. By gently exfoliating the scalp, it removes dead skin cells, clears clogged pores, and promotes better oxygen flow to hair follicles—essential for stronger, healthier-looking hair.

 Formulated with 11 natural plant extracts and proteins, this shampoo nourishes hair from the roots, helping to strengthen weak strands, improve thickness, and restore vitality while keeping the scalp balanced with a slightly acidic pH.

Why you’ll love it

Helps reduce hair thinning and breakage

Gently exfoliates and refreshes the scalp

Nourishes hair from root to tip

Supports thicker, fuller-looking hair

Maintains a healthy, balanced scalp environment

Suitable for

Hair Type: Thin hair

Hair Concerns: Thin hair with breakage, itchy scalp

What it helps with

Hair thinning

Weak, fragile strands

Itchy or uncomfortable scalp

How to use

Apply a moderate amount to wet hair.

Gently massage into the scalp and hair to create a rich lather.

Rinse thoroughly with lukewarm water.

How it works

 This shampoo combines gentle cleansing agents with a nutrient-rich blend of plant extracts and proteins to support scalp health and hair strength. By removing buildup and balancing the scalp, it creates an optimal environment for healthier hair growth.

 The slightly acidic pH helps maintain the scalp’s natural barrier, while botanical extracts soothe irritation, strengthen roots, and enhance shine—leaving hair looking fuller, healthier, and revitalized.

Key ingredients

Plant-Based Proteins: Help strengthen weak strands and improve resilience

11 Botanical Extracts: Nourish the scalp and support healthier hair growth

Salicylic Acid: Gently exfoliates the scalp and clears pores

Niacinamide: Helps support scalp balance and hair vitality

Sodium Hyaluronate: Helps maintain moisture in the scalp and hair

Full ingredients list

 Water, Decyl Glucoside, Lauryl Glucoside, Sodium Cocoyl Glutamate, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Sophora Flavescens Root Extract, Capsicum Annuum Extract, Lycium Chinense Fruit Extract, Camellia Sinensis Leaf Extract, Angelica Gigas Root Extract, Angelica Dahurica Root Extract, Rubus Coreanus Fruit Extract, Morus Alba Root Extract, Pinus Palustris Leaf Extract, Lithospermum Officinale Root Extract, Polygonum Multiflorum Root Extract, Menthol, Propylene Glycol, Salicylic Acid, Dexpanthenol, Rosmarinus Officinalis (Rosemary) Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Ocimum Basilicum (Basil) Oil, Salvia Sclarea (Clary) Oil, Pelargonium Graveolens Flower Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Sodium Hyaluronate, Niacinamide, Citric Acid, 1,2-Hexanediol, Caprylyl Glycol, Polyquaternium-10, Disodium EDTA, Limonene

Additional information

Net Quantity: 200 ml

Country of Origin: South Korea",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/laladehaloshthha_tr_20/1.jpg
RCP9686688282,C224VTC117-M,Chapter 2,"Sweet and effortless, the Cropped Tee in Baby Pink brings a soft pop of color to your everyday rotation. Crafted from breathable cotton with a comfy cropped fit, it’s perfect for pairing with high-rise jeans, skirts, or shorts for an easy, feminine look.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/C224VTC117%20_pink/1.jpg
LRP4655294762,8809625246112,Rom&nd,"Rom&amp;nd Glasting Melting Balm – Original Series

 Juicy, watery-glow lip balm with unique glossy shades and a smooth melting texture

 Water-Bomb Glow

 Creates a high-shine, juicy finish with a fresh, watery appearance.

 Melting Balm Formula

 Soft balm texture melts smoothly onto the lips with effortless glide.

 Transparent Glazed Finish

 Formulated with highly refractive oils for a clear, glossy look.

 Vegan &amp; Moisturising

 Plant-based oils nourish lips without heaviness or stickiness.

 Product Description

 Rom&amp;nd Glasting Melting Balm – Original Series is the brand’s bestselling lip balm
 designed to deliver a juicy, high-gloss finish with a smooth, melting application.
 The balm glides effortlessly across the lips, coating them with a transparent,
 water-like shine created by highly refractive oils. Its distinctive shade range
 offers colours rarely seen in traditional lip balms, adding a fresh and modern
 touch to everyday lip makeup.

 Infused with plant-based ingredients such as rosehip oil, argan oil, and evening
 primrose oil, this vegan-friendly formula forms a moisture barrier to help keep
 lips hydrated, soft, and comfortable. The result is a plump, rosy pout that pairs
 perfectly with natural and minimal makeup looks.

 Key Benefits

 Delivers a glossy, watery glow with a smooth glazed finish

 Melts easily onto the lips for comfortable application

 Enhances lips with unique, softly tinted shades

 Supports hydration by forming a moisture-locking barrier

 Lightweight, non-sticky texture suitable for daily wear

 Suggested Use

 Apply directly to the lips with a smooth swipe. Reapply as needed to maintain moisture
 and shine. Can be worn alone or layered over other lip products for added gloss.

 Product Specifications

 Product Name
 Rom&amp;nd Glasting Melting Balm – Original Series

 Product Type
 Glossy Lip Balm

 Finish
 Watery / Glazed Glow

 Formulation
 Vegan-friendly

 Ingredients &amp; Allergen Information

 Infused with plant-based oils including rosehip oil, argan oil, and evening primrose oil.
 Ingredient details may vary by shade; please refer to the product packaging for the
 complete ingredient list.

 Allergen information: Perform a patch test before use, especially if you have sensitive
 skin or lips.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/ROM_GMB_OGS_Red/1.jpg
SIP5440889677,SIPL1803-BLACK-XL,Style Island,"Stay warm and chic this winter with the Suzanne Wool Jacket. This jacket features luxurious leather trims and eye-catching gold buttons that elevate its classic design. Perfect for layering over your favorite outfits, it offers both style and comfort for the colder months.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/SIPL1803_BLACK/1.jpg
RCP2066122296,C224VTC117-L,Chapter 2,"Sweet and effortless, the Cropped Tee in Baby Pink brings a soft pop of color to your everyday rotation. Crafted from breathable cotton with a comfy cropped fit, it’s perfect for pairing with high-rise jeans, skirts, or shorts for an easy, feminine look.",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/C224VTC117%20_pink/1.jpg
E7397305154,EST-Prettmama2.0-StoneWash-XS,Esthreall,".desc-bw-reset {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset *:not(img):not(video):not(iframe):not(svg):not(canvas) {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset a,
.desc-bw-reset a:visited,
.desc-bw-reset a:hover,
.desc-bw-reset a:active {
 color: #000000 !important;
 -webkit-text-fill-color: #000000 !important;
 text-decoration: underline !important;
}
.desc-bw-reset img,
.desc-bw-reset video,
.desc-bw-reset iframe,
.desc-bw-reset svg,
.desc-bw-reset canvas {
 background-color: transparent !important;
}
.desc-bw-reset table,
.desc-bw-reset td,
.desc-bw-reset th {
 background-color: #ffffff !important;
 color: #000000 !important;
 border-color: #cccccc !important;
}
.desc-bw-reset hr {
 border-color: #cccccc !important;
 background-color: #ffffff !important;
 color: #000000 !important;
}

Product Description

Cut from 270 GSM premium cotton, this oversized silhouette embodies a relaxed yet structured fall &amp; soft to the touch, substantial in weight, and refined through a custom stone-wash process that lends each piece a distinct faded hue. No two garments share the same tone, ensuring individuality in every creation.

A classic round neckline and dropped shoulders anchor the form, while the front features a minimal brand screen print and tagline, understated yet intentional. The back unfolds into a bold contrast graphic, a visual statement that channels the brand’s raw, expressive energy.

Product Details

Material: 100 % Cotton

Fabric: 100% cotton

Fit: OverSize

Neck Type: Round

Sleeve Length: Above Elbow

No. of Pockets: No Pockets

Wash Care

Machine Wash Only

Manufacturer Information

Manufacturer: Esthreall

Address: SARASWATI BLDG CHS LTD FLAT NO 1B-12 GROUND GROUND Mira Bhayandar 100 FEET ROAD Mira Bhayandar- 401101, Maharashtra, IN

Country of Origin: India",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/BW_EST_PRETTMAMA_01/1.jpg
E8511946257,EST-Prettmama2.0-StoneWash-S,Esthreall,".desc-bw-reset {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset *:not(img):not(video):not(iframe):not(svg):not(canvas) {
 color: #000000 !important;
 background-color: #ffffff !important;
 -webkit-text-fill-color: #000000 !important;
}
.desc-bw-reset a,
.desc-bw-reset a:visited,
.desc-bw-reset a:hover,
.desc-bw-reset a:active {
 color: #000000 !important;
 -webkit-text-fill-color: #000000 !important;
 text-decoration: underline !important;
}
.desc-bw-reset img,
.desc-bw-reset video,
.desc-bw-reset iframe,
.desc-bw-reset svg,
.desc-bw-reset canvas {
 background-color: transparent !important;
}
.desc-bw-reset table,
.desc-bw-reset td,
.desc-bw-reset th {
 background-color: #ffffff !important;
 color: #000000 !important;
 border-color: #cccccc !important;
}
.desc-bw-reset hr {
 border-color: #cccccc !important;
 background-color: #ffffff !important;
 color: #000000 !important;
}

Product Description

Cut from 270 GSM premium cotton, this oversized silhouette embodies a relaxed yet structured fall &amp; soft to the touch, substantial in weight, and refined through a custom stone-wash process that lends each piece a distinct faded hue. No two garments share the same tone, ensuring individuality in every creation.

A classic round neckline and dropped shoulders anchor the form, while the front features a minimal brand screen print and tagline, understated yet intentional. The back unfolds into a bold contrast graphic, a visual statement that channels the brand’s raw, expressive energy.

Product Details

Material: 100 % Cotton

Fabric: 100% cotton

Fit: OverSize

Neck Type: Round

Sleeve Length: Above Elbow

No. of Pockets: No Pockets

Wash Care

Machine Wash Only

Manufacturer Information

Manufacturer: Esthreall

Address: SARASWATI BLDG CHS LTD FLAT NO 1B-12 GROUND GROUND Mira Bhayandar 100 FEET ROAD Mira Bhayandar- 401101, Maharashtra, IN

Country of Origin: India",https://broadway-prod-product-service.s3.ap-south-1.amazonaws.com/Product_Images/BW_EST_PRETTMAMA_01/1.jpg
